TotalReaction,Displacement
0,0
-9205.902,0.0119842
-12350.045699999999,0.0480812
-15004.607000000002,0.147382
-15027.734,0.148382
-15051.204999999993,0.149382
-15074.634000000013,0.150382
-15097.17000000001,0.151382
-15119.466999999995,0.152382
-15142.252999999999,0.153382
-15167.093000000006,0.154382
-15191.009000000004,0.155382
-15214.135000000004,0.156382
-15237.199000000008,0.157382
-15261.154999999995,0.158382
-15286.496000000008,0.159382
-15312.044000000009,0.160382
-15336.321999999996,0.161382
-15359.974999999988,0.162382
-15383.934000000005,0.163382
-15403.370999999988,0.164382
-15421.913999999988,0.165382
-15440.009000000007,0.166382
-15459.217000000002,0.167382
-15478.458000000004,0.168382
-15497.556000000008,0.169382
-15516.03800000001,0.170382
-15535.235000000006,0.171382
-15553.538999999997,0.172382
-15572.740000000005,0.173382
-15589.62000000001,0.174382
-15606.839999999991,0.175382
-15624.009999999998,0.176382
-15641.439999999991,0.177382
-15657.669999999993,0.178382
-15673.769999999997,0.179382
-15691.179999999998,0.180382
-15708.89,0.181382
-15724.970000000001,0.182382
-15739.650000000001,0.183382
-15754.469999999994,0.184382
-15769.290000000003,0.185382
-15784.290000000006,0.186382
-15799.460000000005,0.187382
-15813.950000000004,0.188382
-15828.759999999998,0.189382
-15842.87999999999,0.190382
-15856.509999999997,0.191382
-15870.470000000001,0.192382
-15884.379999999992,0.193382
-15898.810000000005,0.194382
-15913.119999999995,0.195382
-15927.44,0.196382
-15941.229999999996,0.197382
-15955.950000000004,0.198382
-15970.909999999996,0.199382
-15985.129999999997,0.200382
-15999.590000000007,0.201382
-16013.529999999982,0.202382
-16026.569999999989,0.203382
-16039.640000000003,0.204382
-16052.190000000002,0.205382
-16064.899999999998,0.206382
